title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
你当像鸟飞往你的山,2019-11-01 00:00:00,文学-散文杂著,奇迹！一部新人处女作，上市第·一周即登上《纽约时报》畅销榜，至今已累计80周，仍高居No.1，全美销量破百万册，作者被《时代周刊》评为“年度影响力人物”。17岁前从未上过学的女孩，如何成为剑桥大学博士？我们要背叛多少曾经，才能找到真正的自我！ 比尔·盖茨年度荐书 No.1,5,854,0,35.4,https://weread-1258476243.file.myqcloud.com/weread/cover/55/26713355/s_26713355.jpg
撒哈拉的故事,2022-04-30 00:00:00,文学-散文杂著,传奇作家三毛代表作，华语文学绕不开的名作，无数人心中的华语散文“天花板”。豆瓣超42万读者9.2高分推荐，稳居豆瓣读书总榜前15！崭新修订，优选篇目，完整呈现三毛撒哈拉时期的生活与创作。一千种生活可能，一本书一网打尽！带你逃离庸常，给你“闯”的勇气，“永远在路上”永远让人着迷！无数人梦与远方的起点，无数人闪闪发光的开端！齐豫、林青霞、史航、贾平凹、饶雪漫、鲁豫、寂地、陈妍希、姚晨……各界名人都在读三毛！ 记录三毛一生中快乐的高光时刻，纪念生命中一去不返的“黄金时代”！,6,969,0,29.4,https://weread-1258476243.file.myqcloud.com/weread/cover/24/3300020524/s_3300020524.jpg
沉默的大多数,2016-11-01 00:00:00,文学-散文杂著,自从我辈成人以来，所见到的一切全是颠倒着的。在一个喧嚣的话语圈下面，始终有个沉默的大多数。——王小波。王小波以卓越的文采，众醉独醒的姿态对社会道德伦理、国学与新儒家、个体尊严以及小说、艺术等方面进行了酣畅淋漓的剖析，表达了有理有趣的观点。时隔二十年，依然如同清流一般，读来让人沉思，让人捧腹，让人拍案叫绝。王小波说：我活在世上，无非想要明白些道理，遇见些有趣的事。倘能如我所愿，我的一生就算成功。我开始得太晚了，很可能做不成什么，但我总得申明我的态度，所以就有了这本书——为我自己，也代表沉默的大多数。,28,836,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/471/30766471/s_30766471.jpg
我与地坛,2011-04-01 00:00:00,文学-散文杂著,要是有些事我没说，地坛，你别以为是我忘了，我什么也没忘；但是有些事只适合收藏，不能说，不能想，却又不能忘。《我与地坛》是史铁生文学作品中，充满哲思又极为人性化的代表作之一。其前两段被纳入人民教育出版社的高一教材中。前两部分注重讲地坛和他与母亲的后悔，对中学生来说，这是一篇令人反思的优秀文章。,2,880,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/44/674044/s_674044.jpg
梁永安：阅读、游历和爱情,2022-06-01 00:00:00,文学-散文杂著,为什么我们活得那么累？为什么我们越来越茫然？为什么我们甚至开始不知道“我是谁”？我们被指责内卷，又被指责躺平；我们被贩卖孤独，又被推销爱情；我们被推向对立，又被斥为无情……于是有人问，这代年轻人怎么了？可是，我们也想问，我们应该怎样“正确”地生活、自由地生活？年轻是属于阅读、游历和爱情的。复旦大学中文系教授、宝藏老师梁永安在《梁永安：阅读、游历和爱情》中如是说——我对年轻人有两个建议：一，要保持对世界的好奇心；二，要走出自我舒适区，在新的东西里寻找人生。现近代以来，爱情Z大的要素就是女性的变化，而很多男性没有跟上女性的思想转变。现在很多年轻人的自由时间被剥夺了，整天“996”，两性之间自然没有很宽松的体验。复旦大学教授梁永安老师从爱情、工作、自我、修养、孤独、社交、人格、艺术、女性文化等具体十五个主题切入当下青年群体的时代症候，期望与青年人一起突破对问题的单一认知，找到新的理解方式，体会到生活的无限可能与多元价值。跟随梁永安，在不确定的时代，做确定的自己。,17,826,0,40.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/669/44000669/s_44000669.jpg
遥远的向日葵地,2017-11-01 00:00:00,文学-散文杂著,2017中国好书，第七届鲁迅文学奖获奖作品。阿勒泰的葵花比阿尔勒的葵花更炽烈，最亲的亲人和最亲的家畜都是家人。广受好评的新生代非虚构散文写手李娟继“羊道”三部曲后全新力作。母亲带着家禽、牲畜，举家迁徙乌伦古河岸的戈壁，定居在葵花地边的“冬窝子”，开始一段充满艰辛与奇遇的耕种生活。荒漠上开辟的百亩葵花地，经历鹅喉羚啃食、三次补种，又接连遭遇干旱、虫害，直至收获，中间是微弱的希望和漫长等待……在这些吉光片羽的记录中，作者首次集中将思绪汇聚于自己家族成员的生活细微，他们与无垠荒漠构成完整的生态样本。,8,908,0,7.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/687/25077687/s_25077687.jpg
树犹如此,2011-11-01 00:00:00,文学-散文杂著,"《树犹如此》是白先勇的散文自选集，主要收录他回忆个人经历、亲友交往的文章。其中纪念亡友的《树犹如此》将至深痛楚沉淀六年，被称为“以血泪、以人间最纯真的感情去完成的生命之歌”。另收两篇写友人的新作：画家奚淞修佛之旅《寻找那一棵菩提树》，救助上万艾滋孤儿的杜聪《修菩萨行》。可见白先勇近年心中所系。书中作品多成于白先勇“五十知天命”之后，董桥曾“惊讶他已然像自在、放下的老僧，任由一朵落花在他的掌心默默散发瞬息灿烂”。写至友王国祥、三姊先明，平实中蕴藏波澜壮阔，人间悲悯。桂林、上海、南京、台北，文化乡愁叠加，难觅归处。在倾注心血和青春的同人杂志《现代文学》，白先勇以文会友，情笃一生。
",13,800,0,23.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/173/929173/s_929173.jpg
历史的温度1-5（套装共5册）,2020-11-01 00:00:00,文学-散文杂著,徐霞客、麦哲伦、容闳、张伯苓、刘长春、马拉、陈公博、伊藤博文……不管是这些在史书上留下了名字的人，还是那些没有留下名字的普通人，其实都有自己的信念，有自己的梦想。只是，如果把时间轴拉到足够长，大多数人的信念和梦想都随时间而湮灭了。留在史书上的那些人，有的是因为历尽艰辛，坚持的信念最终成真，而有些人所谓的“信念”本身就是个妄念，最终不光是撞了南墙，甚至还会被钉在历史的耻辱柱上。翻看历史的长卷，回顾这一个个故事，以及故事中的那些人、那些事，你会发现，人生的转折，有时真的只在一念之间，不管这些“念”，是信念还是妄念，是文念还是情念。每个历史人物或者事件，背后都曾有不为人熟知的故事，这套书的目的，就是把这些故事告诉你。在张玮抽丝剥茧般的描述中，历史被还原成了一个个有血有肉的人，这之中，有热血，有残酷，有真实，当然，也有温度。而我们作为看客，会发现，历史或许从未远去。,27,890,0,167.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/927/35177927/s_35177927.jpg
潜规则：中国历史中的真实游戏,2011-12-01 00:00:00,文学-散文杂著,    80年代以来对国人影响最大的图书之一。“30年30本书”入选图书之一。了解中国史、中国人和中国社会必读。黄仁宇把水烧到了80度，吴思则把水烧到了100度！本书说出了《万历十五年》没说透的地方！把潜规则看清楚了，你再来看历史，就跟庖丁解牛似的，目无全牛，全是关节，一刀下去，哗啦就开。作者吴思是发现和系统研究中国历史“潜规则”的第一人。在生动、有趣地讲述官场故事的同时，作者透过历史表象，揭示出隐藏在正式规则之下、实际上支配着社会运行的不成文的规矩，并将其名之曰“潜规则”。什么是潜规则？简单地说，就是在现实“规则”之后所隐藏的另一种规则，这种规则才是人们真正遵循的行为准则，与他们的利害计较紧密相联。,8,822,0,5.05,https://wfqqreader-1252317822.image.myqcloud.com/cover/680/812680/s_812680.jpg
皮囊,2014-12-01 00:00:00,文学-散文杂著,《皮囊》是蔡崇达的第一部文学作品，一部有着小说阅读质感的散文集。作者本着对故乡亲人的情感，用客观、细致、冷静的方式，讲述一系列刻在骨肉间的故事，体现一个福建渔业小镇上的风土人情和时代变迁。作者通过本书，与读者分享其对三大现代人共通命题的思考，回答那些我们始终要面对的问题——亲人的生老病死、理想与现实的差距、故乡与远方的选择。自2014年12月面世至今，《皮囊》成为感动千万读者的“国民读本”，被称为“非虚构”写作丛林中独具样貌的林木，销量突破300万册，堪称现象级的超级畅销书。韩寒、白岩松、刘德华、刘同、蒋方舟、李敬泽、阿来、阎连科等人联袂推荐。《皮囊》（2019）封面升级版，书封使用具有皮肤质感的SKINS纸，包裹14则温情而又残酷的故事，容纳一个个既失去家乡又尚未到达远方的生命。,7,784,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/149/511149/s_511149.jpg
不奕乐乎,2022-06-01 00:00:00,文学-散文杂著,演技派刘奕君老师首部行走观心摄影随笔集《不奕乐乎》，乐活达观发现生活之美！生活本身就可以是理想，生活本身就能鼓舞生活。在纷繁的世界中，希望你有直面生活摔打同时心怀热爱的坚持和从容，有负重前行的勇气和云淡风轻的心态，有化身每一个角色的强烈信念感，也有在生活细节中发现美好的一面，更有对自己、对世界保持一颗好奇心的少年感。,7,892,0,19.99,https://weread-1258476243.file.myqcloud.com/weread/cover/68/3300020068/s_3300020068.jpg
看见,2013-01-01 00:00:00,文学-散文杂著,柴静十年成长的个人告白，中国社会变迁的备忘。央视知性美女主持柴静首度出书，讲述十年央视生涯。从对新闻一无所知的新人，尝遍失败、迷茫、摔打的滋味，到如今成为央视最受欢迎的女记者和主持人，柴静从未停止反思和追问，柴静说：“你想如何报道一个国家，就要如何报道自己。” 《看见》告诉你柴静何以成为柴静，她经历过什么，思考着什么，又记下了什么。,7,861,0,23.88,https://wfqqreader-1252317822.image.myqcloud.com/cover/781/277781/s_277781.jpg
一间自己的房间,2019-11-01 00:00:00,文学-散文杂著,文艺女神伍尔芙的魅力哲学是：聪明女性的独立方式，从拥有一间自己的房间开始——独立而自由的灵魂，才是幸福之源。做自己，比任何事都更重要。本书源自伍尔夫在剑桥大学的演讲，一经出版，风靡全球，感动千万读者，被誉为“激发女性精神觉醒的心灵之书”。“它刺痛我，使我流泪，不停颤抖。我被深深地打动了，以至于我想要尽可能地读得慢些，再慢些。一个段落里我会来回读个三四遍，才会推进到下一个段落。”——美国作家保罗·奥斯特,7,864,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/213/31266213/s_31266213.jpg
鲁迅全集（全20卷）,2014-05-01 00:00:00,文学-散文杂著,"唯一无删改、原汁原味鲁迅的文字，市面上最通俗好读的鲁迅版本！1936年10月，鲁迅先生在上海逝世。鲁迅先生纪念委员会为""扩大鲁迅精神的影响，以唤醒国魂，争取光明""编印了鲁迅逝后第一版《鲁迅全集》。《全集》由蔡元培任主席的鲁迅先生纪念委员会负责编校，编辑委员有蔡元培、马裕藻、沈兼士、茅盾、周作人诸先生。《全集》总目以鲁迅亲定的著述目录为基础，增加了译作部分，并力求各册字数大致相当。全书大致分创作、古籍校辑、译作三大部分。各部分内容按时间先后排序。全书总计六百余万字，共分二十卷。于1938年6月正式出版并发行。鲁迅全集（第一卷）-坟、呐喊、野草；鲁迅全集（第二卷）-热风、彷徨、朝花夕拾、故事新编；鲁迅全集（第三卷）-华盖集、华盖集续编、华盖集续编的续编、而已集；鲁迅全集（第四卷）-三闲集、二心集、伪自由书；’鲁迅全集（第五卷）-南腔北调集、准风月谈、花边文学；鲁迅全集（第六卷）-且介亭杂文、且介亭杂文二编、且介亭杂文续编；鲁迅全集（第七卷）-致许广平书信集、集外集、集外集拾遗；鲁迅全集（第八卷）-会稽郡故书杂集、古小说钩沉；鲁迅全集（第九卷）-嵇康集、中国小说史略、后记；鲁迅全集（第十卷）-小说旧闻钞、唐宋传奇集、汉文学史纲要；鲁迅全集（第十一卷）-月界旅行、地底旅行、域外小说集、现代小说译丛、现代日本小说集、工人绥惠略夫；鲁迅全集（第十二卷）-一个青年的梦、爱罗先珂童话集、桃色的云；鲁迅全集（第十三卷）-苦闷的象征、出了象牙之塔、思想·山水·人物；鲁迅全集（第十四卷）-小约翰、表、俄罗斯的童话、药用植物；鲁迅全集（第十五卷）-近代美术史潮论、艺术论；鲁迅全集（第十六卷）-壁下译丛、译丛补；鲁迅全集（第十七卷）-艺术论、现代新兴文学的诸问题、文艺与批评、文艺政策；鲁迅全集（第十八卷）-十月、毁灭、山民牧唱、坏孩子和别的奇闻；鲁迅全集（第十九卷）-竖琴、一天的工作；鲁迅全集（第二十卷）-死魂灵。",193,937,0,215.36,https://wfqqreader-1252317822.image.myqcloud.com/cover/628/827628/s_827628.jpg
瓦尔登湖,2015-06-29 00:00:00,文学-散文杂著,《瓦尔登湖》是美国作家梭罗独居瓦尔登湖畔的记录，描绘了他两年多时间里的所见、所闻和所思。这部著作区别于先前文学作品的第一个特征，是其对自然巨细靡遗的描摹和引申。大至四季交替造成的景色变化，小到两只蚂蚁的争斗，无不栩栩如生地再现于梭罗的生花妙笔之下，并且描写也不流于表浅，而是有着博物学家的精确。,7,798,0,10,https://wfqqreader-1252317822.image.myqcloud.com/cover/612/23303612/s_23303612.jpg
秋园,2020-06-01 00:00:00,文学-散文杂著,1914年，秋园出生在洛阳一户行医人家。长大后的秋园嫁给了驻扎当地的一位国民党文职官员。秋园先是跟随丈夫从洛阳搬到了南京。抗战爆发后，一家人又迁往重庆，中途脱离部队回到湖南乡下。在湘阴，秋园生下五个孩子，活下三个，女儿之骅排行老二。贫穷、饥饿、歧视日日侵蚀着这个家庭，之骅自小便目睹母亲为生存所做的苦苦挣扎。丈夫去世后，秋园带着两个幼子流落湖北，艰难求生。16岁时，之骅逃离了乡村，到一个偏远小城求学、扎根。秋园和之骅母女被命运抛掷底层，两代女性为活下去付出了最大努力。当晚年的之骅拿起笔回首一生，真正的救赎方才开始。,5,919,0,26.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/899/32070899/s_32070899.jpg
家人闲坐，灯火可亲,2020-04-01 00:00:00,文学-散文杂著,家贵在传承，父辈身上的特质影响他一生：汪曾祺出生在一个地主家庭，祖父白手起家，有两千多亩地，两家药铺，却生活节俭，一个咸鸭蛋要分两顿吃，爱花大价钱收藏字画。父亲多才多艺，会拳脚、爱音乐、写字、画画，还会用最好的材料给孩子做花灯和风筝，陪孩子玩。汪曾祺说“我的童年很美”，所以他的一生受童年的影响，兴趣广泛，活得洒脱而有诗意。本书主要围绕家和生活，分四辑：辑一家人闲坐，灯火可亲；辑二自得其乐，随遇而安；辑三汤和天气好；辑四日日有小暖，至味在人间。是汪曾祺写给大家的美而幸福的“活法”，几乎囊括了汪曾祺Z精华的散文，并附录汪氏三兄妹写“老头儿”和母亲的文章。是了解汪曾祺家风及生活的Z佳读本。读一读汪曾祺的文字，你会觉得得生活是美好的，人是有诗意的，会加更热爱这个世界。,13,941,0,19.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/835/31151835/s_31151835.jpg
自造,2021-12-01 00:00:00,文学-散文杂著,关于事业、关于理想、关于爱情、关于亲情、关于人生……在这本书中，陶勇不仅是一位公立医院的眼科医生，更是患者朋友的人生医师。 他以医者和普通人的双重视角，忠实地记录了这个时代的医患关系、医者思考和医学故事，分享医院之内和医院之外的人生感悟。  作为一个医生，陶勇自然地想要给求助者以解决方法。 他说：“近两年来，我遇到的是自己人生中突如其来的打击，接触到的是年轻人普遍存在的迷茫，前者给我带来的只是短暂的调整，而后者却让我长时间陷入思考。” 这本书是一个罕见的理想主义者的人生独白，他深知自己的方法未必适合每一个人，但他仍然愿意诚恳地分享，他让你相信这世上有光，让你相信光的力量。,6,907,0,34.99,https://weread-1258476243.file.myqcloud.com/weread/cover/20/3300011720/s_3300011720.jpg
历史的温度（全四册-独家定制版）,2019-10-01 00:00:00,文学-散文杂著,【微信读书，全网独家首发！】坚守气节、自诩为“海上苏武”的叶名琛，为何最终还是背了“千古骂名”？严复的人生，因何最终拐了个弯？达·芬奇，真的是从现代穿越回去的吗？拿过诺贝尔文学奖的丘吉尔，他又有着怎样的另一面？叶名琛、丁汝昌、沈荩、张作霖、黎元洪、严复、拉贝、丘吉尔、达·芬奇、格瓦拉……这一个个或熟悉，或陌生的名字背后，究竟有着怎样的人生？他们的故事又折射了什么样的时代？在张玮抽丝剥茧般的描述中，史书上的一个名字、一件事，都能呈现出一幅幅生动而鲜活的画面，以自己的方式改变着历史，或者被历史改变着。历史不再是冷冰冰的年份和数字，而是一个个有温度的故事，一个个有血有肉的真实的人。作者尽可能地用辩证的眼光，去还原那些历史事件和历史人物，让看起来枯燥的历史，带着它的血肉、它的彷徨、它的闪光、它的信念，展现真实的温度。,10,845,0,128.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/831/26605831/s_26605831.jpg
朗读者（全3册）,2017-08-01 00:00:00,文学-散文杂著,该书为CCTV《朗读者》的同名图书，由央视著名节目主持人董卿作为本书的主编。该节目具有广泛的社会影响和良好的受众口碑。本书依托电视节目，体例上按照主题词结构划分章节，章节内分主题导言、朗读者小传、访谈、文本、点评几个板块，偏重文本的文化品质和精神内涵，回归书的阅读感和品质感。收录多篇名家名作，老少咸宜。该书分三辑，每辑收入四个主题的精选内容，附图片。,15,863,0,90,https://wfqqreader-1252317822.image.myqcloud.com/cover/3/913003/s_913003.jpg
当呼吸化为空气（双语版）,2020-12-01 00:00:00,文学-散文杂著,全世界只有百分之0.0012的人在36岁就患上肺癌，保罗·卡拉尼什（Paul Kalanithi）是其中之一。当你读到这本书时，他已经不在人世。本书是“美国神经外科医生协会最高奖”获得者、斯坦福大学天才医生与癌症抗争的生命感悟。作者保罗·卡拉尼什（Paul Kalanithi）获得美国斯坦福大学英语文学及人体生物学双料学位，并于英国剑桥大学获得科学史与哲学研究硕士学位，以优异成绩获得美国耶鲁大学医学博士学位，即将获得斯坦福医学院外科教授职位并主持自己的研究室。2013年，即将抵达人生巅峰的保罗，忽然被诊断出患有第四期肺癌。自此，他开始以医生和患者的双重身份，记录自己的余生，反思医疗与人性。他的文章刊登在《纽约时报》《华盛顿邮报》等媒体，获得了全球读者关注。本书文笔优美，诚挚感人，书里有着对人性、生死、医疗的深沉思索，让全球无数读者为之动容。,10,952,0,32.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/115/36214115/s_36214115.jpg
人间告白,2020-03-01 00:00:00,文学-散文杂著,“哪怕只有一天，我也要推着轮椅上的小忽去海边看一次日出，陪小忽吃一顿午餐，也要带花生来抱一抱小忽……哪怕只有一天，我也要创造机会，和他多留下一点美好的回忆。如此，每多出来的一天，就是我们赚到的幸福。这样想想，生活又充满期待和念想了。”小忽正当壮年罹患癌症，留下儿子花生和妻子金鱼酱独自行走在人间。金鱼酱一笔一划记录下抗癌路上的真实故事，温暖而刺痛，绝望又坚强。等花生长大，就拿给他看。,14,904,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/666/31617666/s_31617666.jpg
当我谈跑步时，我谈些什么,2015-09-01 00:00:00,文学-散文杂著,"《当我谈跑步时，我谈些什么》是村上春树最受欢迎的随笔集。开始作家生涯之际，村上春树也开始长跑。从夏威夷的考爱岛，到马萨诸塞的剑桥；从村上市的铁人三项赛，到希腊马拉松长跑古道，他永远在奔跑。
“痛楚难以避免，而磨难可以选择。”每当村上长跑时，脑海里就反复出现这句话。积极地选择磨难，就是将人生的主动权握在自己手中。他将这些年来在路上一面奔跑，一面思索的东西集结成书，诚实地书写跑步，诚实地书写人生。",5,786,0,21.6,https://weread-1258476243.file.myqcloud.com/weread/cover/95/25184495/s_25184495.jpg
想为你的深夜放一束烟火,2022-06-01 00:00:00,文学-散文杂著,"刘同2022全新作品，书写23个疗愈心灵的故事，暗处亦有光亮，深夜亦可疗伤。
在本书中，刘同用120%的真诚，记录了人生中最狼狈、最尴尬、最不想面对的23个深夜时刻，也同时记录了身边人一次次鼓舞自己的23个烟火瞬间。每个人都会经历那种深夜难熬、白日难眠的日子。但要知道，人生不光只有白天或艳阳，也有深夜与烟火。纵有起落，冲要冲得无畏，丧要丧得热烈！
祝你深夜快乐。
刘同想对读者说的话——
·为什么书名叫《想为你的深夜放一束烟火》？
写这本书时都在深夜，常常写完一个故事，自己也被治愈了。
每一个字、每一句话都像深夜里盛开的烟火，抚慰了我。
因此也希望它能安慰到每一位读者。
·你希望读者能从中读出什么？
作为写作者，我只能尽可能在文字里将自己剖析，
以毫不伪装的真实面貌与读者相见。
我希望当你拿起这本书时，
读一小段便能感觉到平静，有想继续交流的欲望。
对我而言，这就很安慰了。
·什么样的读者适合看这本书？
书里有一句话——人生不只有白天和艳阳，还有深夜与烟火。
如果你也在深夜里一个人独处，思量过未来的路，
也曾希望在黑暗中，遇见一个懂自己的人，
那这本书或许就能给到你一些抚慰。
·你想对这本书的读者说些什么？
谢谢你拿起这本书，希望你想翻开它。
谢谢你翻开这本书，希望它能陪伴你。",7,795,0,49,https://weread-1258476243.file.myqcloud.com/weread/cover/34/3300020034/s_3300020034.jpg
给青年的十二封信,2018-01-01 00:00:00,文学-散文杂著,《给青年的十二封信》是美学大家朱光潜先生的成名作。二十世纪二十年代后期，朱光潜先生求学于欧洲，从海外寄回了这十二封写给青年朋友的信，最初登载在《一般》杂志上，后集结成册出版，多次重印。信中所谈皆是青少年们所正在关心或应该关心的话题，如读书、作文、爱恋、情理、修身、做人，凡此种种。作者劝年轻的朋友们，眼光要深沉，戒骄戒躁，不贪容易，更不能随了世俗、急于近利。这些信件正是朱光潜先生提供给现代青少年的成长指南。,7,830,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/65/936065/s_936065.jpg
目光（2020年度中国好书，陶勇医生首部文学随笔）,2020-10-01 00:00:00,文学-散文杂著,《目光》是一本医生的沉思录，也是我们每一个人成长的启示录。书中包含了陶勇从医二十年来对人生的思考与感悟，对生死的看法，对人性善恶的思辨，对放弃与坚守、少数与多数的选择，对医患关系的审视……他的文字就像是他的手术刀，将人间种种悲欢都精准而细腻地在窄小的纸面上铺开、沉淀，他想治好每个人的病，也想医好每个人的心。虽然被伤事件迫使他的人生转变了方向，但是他一直坚持的以仁心做事的信仰，从未改变。他说：“初心放在最大的诱惑和最深的伤害里才能检验其珍贵——我不是神，但愿意继续发出我的微光。”他的目光依旧笃定，步履从容，心性坚韧，他相信希望的力量，相信爱可以治愈世间一切的苦难，相信每一双眼睛的背后，都是光明。本书在由中宣部指导，中国图书评论学会评选，中央广播电视总台承制的“年度优秀图书颁奖典礼”中荣获“2020年度中国好书”奖。,10,951,0,36.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/828/34657828/s_34657828.jpg
心安即是归处,2020-05-01 00:00:00,文学-散文杂著,季羡林经历过人生的大苦大悲，生命的跌宕起伏。然而先生的一生，不争不辩，不怨不艾，满怀天真，执着自己的执着，安于当下。是世界上仅有的精通于吐火罗文的几位学者之一，同时又用质朴的文字向世人传达一个理念——心安即是生命的归处。,4,840,0,24.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/617/32037617/s_32037617.jpg
朝花夕拾,2018-01-01 00:00:00,文学-散文杂著,《朝花夕拾》是鲁迅先生家喻户晓的回忆性散文集，比较完整地记录了他从幼年到青年时期的生活经历和思想脉络，在塑造了一些个性鲜明的人物的同时，将这些回忆融入理性的思考中，读来温馨而又受益匪浅。虽然《朝花夕拾》不只是为少年儿童写的，但写了许多关乎少年儿童的事，读起来兴趣盎然，而且随着年岁的增加，我们总能从中读出不同的味道来，这就是鲁迅作品的魅力所在。,16,890,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/972/26078972/s_26078972.jpg
走到人生边上：自问自答（增订本）,2016-07-01 00:00:00,文学-散文杂著,这是杨绛先生在96岁高龄时创作的一部充满哲思与意趣的散文集。杨先生通过对命运、人生、生与死、灵与肉等根本问题的思考，指出人生的价值在于遵循“灵性良心”的要求修炼自己，完善自身。她以深刻独到的体验，秉笔直书的勇气和生动饱满的笔触，为那些在现实生活中因信仰缺失而茫然无助的人们指点迷津。,11,851,0,14.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/812/23723812/s_23723812.jpg
羊道三部曲：春牧场+前山夏牧场+深山夏牧场,2017-07-12 00:00:00,文学-散文杂著,"本套装包括：《春牧场》、《前山夏牧场》、《深山夏牧场》。羊群在一整面山坡上弥漫开来，沿着平行着布满坡体的上百条弧线（那就是羊道）有序前行，丝丝入扣。新疆北部游牧地区的哈萨克牧民大约是这个世界上最后一支纯正的游牧民族了。“羊道”三部曲记录了李娟跟随哈萨克族的扎克拜妈妈一家，历经寒暑，在粗犷苍茫的新疆阿勒泰山区游牧生活的日子。哈萨克族逐水草而居的草原生活在此得以呈现，在自然的静穆与残酷面前，这个游牧民族所展现出的淡然、坚韧与智慧，让宇宙里每一个渺小的生命都显得如此独特。
",8,916,0,81,https://wfqqreader-1252317822.image.myqcloud.com/cover/624/914624/s_914624.jpg
白说,2015-09-01 00:00:00,文学-散文杂著,《白说》是央视资深新闻人白岩松继《幸福了吗》《痛并快乐着》之后的全新作品，一部言语中的心灵之路。通过近年来于各个场合与公众的深入交流，以平等自由的态度，分享其世界观和价值观。时间跨度长达十五年，涵盖时政、教育、改革、音乐、阅读、人生等多个领域，温暖发声，理性执言。,7,824,0,47.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/367/721367/s_721367.jpg
微尘,2021-05-01 00:00:00,文学-散文杂著,我见过的不幸太多了，从来没有沮丧过。——陈年喜。这本书收录了陈年喜21篇非虚构原创散文。书中写了一群平凡而朴素的劳动者的故事。他们是爆破工、运石工、乡村木匠、农夫、农妇、小作坊老板……而作家自己的故事，贯穿始终：在地下五千米开山炸石，在烟尘和轰鸣中养家糊口，在工棚和山野中写下诗篇，记录命运的爆裂和寂静。他们虽历经生活的磨砺，却淳朴而硬扎，沉静地诉说关于亲情、爱情、死亡、欲望的生活主题……这是一本生命的书，也是死亡的书，归根到底，是一本生活的书。世界是什么样子？生活是什么样子？我的感觉里，除了绵长、无处不在的风，其余都是尘埃，我们在其中奔突，努力站稳，但更多的时候是东倒西歪，身不由己。,6,909,0,42,https://wfqqreader-1252317822.image.myqcloud.com/cover/845/41135845/s_41135845.jpg
此生未完成,2019-08-01 00:00:00,文学-散文杂著,"    这是一本记录关于生命与生活思索的书，写给内心柔软却迷路人间的你：我们要用多大的代价，才能认清活着的意义！一再提醒我们的，就是好好把握当下，以不会令自己将来后悔的方式去生活。书中收录了作者癌症治疗的经历、对人生的理解、对自己忙碌前半生的一些回忆与反思。以及关于故乡、关于亲情等的深切感悟。在病隙日记中，作者反省自己不良的生活习惯和生活细节，以生死经历总结出许多富有哲理的人生观点，以乐观、豁达的生活态度不断与命运抗争,令人重新审视“活着的意义”，理性看待死亡，珍惜生命，珍惜感情，珍惜生活。",24,855,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/39/28221039/s_28221039.jpg
人生答案之书,2021-08-01 00:00:00,文学-散文杂著,周国平与读者的日常问答集。读者所问涉及人生的各个方面，可归纳为八问，即情感之问、道路之问、身心之问、生命之问、灵魂之问、爱智之问、教育之问、读写之问；每一问之下又分爱情、婚姻、目标与理想、兴趣与事业、自我与孤独、哲学与人生、教育、成长、阅读、写作等和我们的生活息息相关的二十三题。周国平以充满哲思的回答，坦诚分享了自己对人生的思考和解读。通过这本书，我们可以更好地读懂人生，寻找属于自己的人生的答案。,7,835,0,42,https://wfqqreader-1252317822.image.myqcloud.com/cover/730/40726730/s_40726730.jpg
阅读是一座随身携带的避难所,2020-08-01 00:00:00,文学-散文杂著,对于毛姆的风格，或许读者首先会想到的是他的毒舌、诙谐、邪诞乃至于刻薄，但却忽略了他在这一切之下的真诚与坦白，以及有意无意之间对有趣或是趣味的强调。在本书中，不论探讨的话题是小说的艺术，还是对哲学、艺术与人生价值的思考，都处处可见毛姆对趣味的坚持。他的语言巧妙精到，流畅洗练，却既不故作高深也不沾沾自喜。读来宛如与你相对而坐，听他本着自己天才的幽默感侃侃而谈，教你如何读书、阅读的乐趣、名家的八卦、对名作的吐槽，还有他自己夹在对人与事的厌恶与热爱之间的情怀与思考。,12,853,0,24,https://wfqqreader-1252317822.image.myqcloud.com/cover/234/32680234/s_32680234.jpg
